name,platform,year,genre,publisher,north_america_sales,europe_sales,japan_sales,global_sales
Imagine: Fashion Stylist,DS,2010.0,Simulation,Ubisoft,0.13,0.0,0.0,0.14
Monsters vs. Aliens,Wii,2009.0,Action,Activision,0.14,0.09,0.0,0.26
LEGO Racers,PS,1999.0,Racing,LEGO Media,0.2,0.14,0.0,0.36
The X-Factor,PS3,2010.0,Misc,Deep Silver,0.0,0.1,0.0,0.14
Houkago Shounen,DS,2008.0,Misc,Konami Digital Entertainment,0.0,0.0,0.05,0.05
Dragon Ball: Raging Blast 2,PS3,2010.0,Fighting,Namco Bandai Games,0.42,0.2,0.11,0.83
Kya: Dark Lineage,PS2,2003.0,Adventure,Atari,0.08,0.06,0.0,0.16
Star Wars: Clone Wars,GC,2002.0,Shooter,Activision,0.31,0.08,0.0,0.4
K-1 Grand Prix,PS,1999.0,Fighting,Jaleco,0.01,0.01,0.0,0.01
Motocross Mania,PS,2001.0,Racing,Take-Two Interactive,0.44,0.3,0.0,0.79
Rec Room Games,Wii,2009.0,Sports,Destineer,0.35,0.0,0.0,0.37
Avatar: The Game,Wii,2009.0,Action,Ubisoft,0.33,0.32,0.0,0.73
The Conveni 4,PS2,2006.0,Simulation,Hamster Corporation,0.0,0.0,0.02,0.02
Disney's Meet the Robinsons,GC,2007.0,Action,Disney Interactive Studios,0.03,0.01,0.0,0.04
Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,SAT,1995.0,Misc,Sega,0.0,0.0,0.05,0.05
Hummer Badlands,PS2,2006.0,Racing,Global Star,0.02,0.02,0.0,0.05
Need for Speed: ProStreet,PC,2007.0,Racing,Electronic Arts,0.0,0.04,0.0,0.04
Namco Museum Vol.1,PS,1995.0,Misc,Sony Computer Entertainment,2.12,1.44,0.22,3.84
Racquet Sports,Wii,2010.0,Sports,Ubisoft,0.14,0.09,0.0,0.26
You Don't Know Jack,PC,1995.0,Misc,Vivendi Games,0.01,0.0,0.0,0.02
Start the Party!,PS3,2010.0,Misc,Sony Computer Entertainment,0.07,0.42,0.0,0.64
ATV Offroad Fury Pro,PSP,2006.0,Racing,Sony Computer Entertainment,0.37,0.04,0.0,0.46
Pony Friends,DS,2007.0,Simulation,Eidos Interactive,0.0,0.05,0.0,0.05
Chaotic: Shadow Warriors,DS,2009.0,Action,Activision,0.17,0.0,0.0,0.18
Madden NFL 11,PS3,2010.0,Sports,Electronic Arts,2.04,0.15,0.0,2.38
Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,SAT,1995.0,Misc,Sega,0.0,0.0,0.11,0.11
Gotcha Force,GC,2003.0,Shooter,Capcom,0.01,0.0,0.01,0.03
Mario Golf: Toadstool Tour,GC,2003.0,Sports,Nintendo,1.09,0.15,0.25,1.53
Summon Night Craft Sword Monogatari: Hajimari no Ishi,GBA,2005.0,Role-Playing,Banpresto,0.0,0.0,0.04,0.04
Pro Wrestling,NES,1987.0,Fighting,Nintendo,0.77,0.18,1.42,2.4
ASH: Archaic Sealed Heat,DS,2007.0,Role-Playing,Nintendo,0.0,0.0,0.12,0.12
Gun Showdown,PSP,2006.0,Action,Activision,0.05,0.01,0.0,0.06
FIFA Soccer 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.29,0.52,0.0,0.9
MLB 08: The Show,PSP,2008.0,Sports,Sony Computer Entertainment,0.3,0.0,0.0,0.33
Infernal: Hell's Vengeance,X360,2009.0,Shooter,Playlogic Game Factory,0.06,0.01,0.0,0.08
San-X Character Channel: All-Star Daishuugou!,DS,2008.0,Action,MTO,0.0,0.0,0.01,0.01
Littlest Pet Shop: City Friends,DS,2009.0,Simulation,Electronic Arts,0.29,0.0,0.0,0.32
NBA 2K11,X360,2010.0,Action,Take-Two Interactive,1.84,0.12,0.01,2.09
AC/DC LIVE: Rock Band Track Pack,PS2,2008.0,Misc,MTV Games,0.08,0.06,0.0,0.16
Area 51,PS,1996.0,Shooter,GT Interactive,0.4,0.27,0.0,0.72
Blood Drive,X360,2010.0,Racing,Activision,0.09,0.01,0.0,0.11
NBA Hangtime,N64,1997.0,Sports,GT Interactive,0.48,0.08,0.0,0.57
Another Code R: A Journey into Lost Memories,Wii,2009.0,Adventure,Nintendo,0.0,0.03,0.03,0.06
CSI: Fatal Conspiracy,PC,2010.0,Adventure,Ubisoft,0.0,0.03,0.0,0.04
Surf's Up,PS3,2007.0,Sports,Ubisoft,0.03,0.0,0.0,0.04
Test Drive: Off Road,PS,1997.0,Racing,Eidos Interactive,0.65,0.44,0.0,1.16
Fade to Black,PS,1996.0,Action,Electronic Arts,0.19,0.13,0.0,0.34
de Blob,Wii,2008.0,Platform,THQ,0.5,0.37,0.0,0.97
Final Fantasy XI: Ultimate Collection,X360,2009.0,Role-Playing,Square Enix,0.25,0.0,0.0,0.27
Invasion From Beyond,PS,1998.0,Shooter,GT Interactive,0.05,0.03,0.0,0.09
Garfield's Nightmare,DS,2007.0,Platform,Game Factory,0.01,0.0,0.0,0.02
The Chronicles of Riddick: Assault on Dark Athena,X360,2009.0,Shooter,Atari,0.16,0.1,0.0,0.29
Dragon Ball: Daimaou Fukkatsu,NES,1988.0,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,1.25
Ready 2 Rumble Boxing: Round 2,N64,2000.0,Fighting,Midway Games,0.19,0.05,0.0,0.24
Dead Space,PC,2008.0,Action,Electronic Arts,0.0,0.53,0.0,0.59
Mortal Kombat Trilogy,N64,1996.0,Fighting,GT Interactive,0.72,0.22,0.0,0.96
James Bond 007: Everything or Nothing,XB,2004.0,Shooter,Electronic Arts,0.43,0.19,0.0,0.64
MVP Baseball 2005,PS2,2005.0,Sports,Electronic Arts,1.26,0.07,0.0,1.54
War Gods,N64,1997.0,Fighting,Midway Games,0.23,0.06,0.0,0.29
Digimon World 4,PS2,2005.0,Role-Playing,Atari,0.08,0.06,0.0,0.15
Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010.0,Misc,Warner Bros. Interactive Entertainment,0.37,0.0,0.0,0.39
Parasite Eve II,PS,1999.0,Role-Playing,SquareSoft,0.32,0.22,0.0,0.58
Ehrgeiz,PS,1998.0,Fighting,SquareSoft,0.17,0.12,0.0,0.3
Jampack Fall 2001,PS,2001.0,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.59
Piglet's Big Game,GC,2003.0,Platform,Gotham Games,0.04,0.01,0.0,0.05
Forever Kingdom,PS2,2001.0,Role-Playing,From Software,0.02,0.02,0.04,0.09
Tiger Woods PGA Tour 10,PSP,2009.0,Sports,Electronic Arts,0.12,0.07,0.0,0.24
Memories Off,PSP,2008.0,Adventure,5pb,0.0,0.0,0.01,0.01
Donkey Kong Jungle Beat,Wii,2008.0,Platform,Nintendo,0.0,0.01,0.0,0.01
Shin Megami Tensei NINE,XB,2002.0,Role-Playing,Atlus,0.0,0.0,0.05,0.05
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009.0,Shooter,Activision,0.25,0.01,0.0,0.49
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005.0,Misc,Sega,0.04,0.02,0.0,0.06
PDC World Championship Darts: Pro Tour,PS3,2010.0,Sports,O-Games,0.0,0.09,0.0,0.11
Dragon Ball: Advanced Adventure,GBA,2004.0,Action,Namco Bandai Games,0.03,0.01,0.0,0.04
Retro Game Challenge (US sales),DS,2007.0,Action,Namco Bandai Games,0.1,0.0,0.0,0.1
Lair,PS3,2007.0,Action,Sony Computer Entertainment,0.36,0.04,0.08,0.52
Def Jam Fight For NY: The Takeover,PSP,2006.0,Action,Electronic Arts,0.08,0.0,0.0,0.09
Devil May Cry,PS2,2001.0,Action,Capcom,1.36,0.86,0.64,2.99
Sonic Advance & Sonic Pinball Party Combo Pack,GBA,2005.0,Misc,Sega,0.1,0.04,0.0,0.15
LEGO Star Wars II: The Original Trilogy,X360,2006.0,Action,LucasArts,0.55,0.04,0.0,0.64
iCarly,DS,2009.0,Adventure,Activision,0.67,0.01,0.0,0.73
Naruto Shippuden: Ninja Destiny 2,DS,2008.0,Fighting,Takara Tomy,0.19,0.03,0.13,0.37
Samurai Shodown Sen,X360,2009.0,Fighting,Rising Star Games,0.07,0.01,0.0,0.08
Naruto: Clash of Ninja 2,GC,2003.0,Fighting,Nintendo,0.44,0.12,0.45,1.04
Hysteria Hospital: Emergency Ward,Wii,2009.0,Action,Oxygen Interactive,0.05,0.0,0.0,0.05
Bratz: Rock Angelz,PS2,2005.0,Misc,THQ,0.19,0.15,0.0,0.38
Portal Runner,PS2,2001.0,Platform,3DO,0.06,0.05,0.0,0.13
Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003.0,Action,Sony Computer Entertainment,0.0,0.0,0.24,0.24
Dr. Seuss' The Cat in the Hat,PS2,2003.0,Misc,Vivendi Games,0.27,0.21,0.0,0.56
Monster Jam: Urban Assault,PSP,2008.0,Racing,Activision,0.08,0.0,0.0,0.09
Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,PS,1995.0,Fighting,Atlus,0.0,0.0,0.1,0.1
NCAA Final Four 2003,PS2,2002.0,Sports,Sony Computer Entertainment,0.09,0.07,0.0,0.19
Torneko no Daibouken: Fushigi no Dungeon,SNES,1993.0,Role-Playing,ChunSoft,0.0,0.0,0.78,0.78
Phantasy Star Universe: Ambition of the Illuminus,PS2,2007.0,Role-Playing,Sega,0.1,0.08,0.05,0.26
Madden NFL 09,DS,2008.0,Sports,Electronic Arts,0.3,0.0,0.0,0.33
Sotsugyou II: Neo Generation Special,3DO,1995.0,Simulation,Imageworks,0.0,0.0,0.02,0.02
