radiation_level,pressure,alien_prob,flare_prob,growth_potential,h2o,target
57.5,0.41,9.3,14.95,3.0,0,non_habitable
53.43,0.58,1.5,12.685,2.9,0,non_habitable
65.375,0.46,3.9219999999999997,13.46,2.541,0,non_habitable
60.88399999999999,0.742,14.360999999999999,12.3385,,0,non_habitable
72.625,0.968,3.323,9.323,4.144,1,very_habitable
172.0,0.857,9.0,10.8,4.4,1,potentially_habitable
36.531,0.912,2.443,3.758,4.746,1,potentially_habitable
59.81,0.565,3.9,10.85,3.2,0,non_habitable
63.25,0.620448385,10.2,10.5,3.326,0,non_habitable
67.063,0.415,2.877,14.017000000000001,2.9410000000000003,0,non_habitable
71.87,0.561,11.3,12.475,3.5,0,non_habitable
82.324,0.33725954,4.3,14.65,3.049,0,non_habitable
66.737,0.693,11.581,12.1595,,1,potentially_habitable
115.09,0.816,10.7,9.59,,1,potentially_habitable
39.19,0.932,7.0,6.1,4.3,1,potentially_habitable
95.0,0.73,1.311,9.48,5.246,1,very_habitable
22.29,1.109,2.9,5.15,4.6,1,potentially_habitable
47.063,0.446,0.122,15.600999999999999,5.507999999999999,1,very_habitable
104.06299999999999,0.59,4.306,12.247,3.088,1,potentially_habitable
227.99,0.894,10.3,12.67,4.7,1,potentially_habitable
80.2,0.465,7.0,24.5,3.1,0,non_habitable
39.653,0.966,8.06,5.942,,1,potentially_habitable
60.281000000000006,0.828,-10.539000000000001,24.016,3.8539999999999996,1,potentially_habitable
49.708999999999996,0.862,9.998,8.962,,0,non_habitable
103.56299999999999,0.58,3.915,12.54,3.2110000000000003,1,potentially_habitable
16.96,0.55,3.0,14.255,5.3,1,very_habitable
85.5,0.461,9.9,13.55,,0,non_habitable
62.13,0.447,6.8,12.205,3.4,0,non_habitable
53.066,0.748,7.922999999999999,11.5955,,1,potentially_habitable
63.074,0.12515583,4.5,18.25,2.9160000000000004,0,non_habitable
56.71,0.951,2.1,3.25,5.0,1,very_habitable
33.58,0.797,3.1,6.95,4.6,1,very_habitable
37.35,1.043,1.5,5.65,4.0,1,potentially_habitable
119.06299999999999,0.9329999999999999,2.6889999999999996,8.005,4.422,1,potentially_habitable
14.0,0.823,-0.2,6.0,4.4,1,very_habitable
59.106,0.01494035,3.0,19.6,2.74,0,non_habitable
64.438,0.762,-3.187,14.808,3.8360000000000003,1,very_habitable
63.95,0.27899999999999997,5.0,15.155,3.3,0,non_habitable
68.29,0.726,8.6,9.7,3.7,0,non_habitable
33.895,1.358,1.6780000000000002,7.098,,1,potentially_habitable
69.438,0.556,-18.252,40.175,2.8789999999999996,0,non_habitable
53.75,0.501,5.2,12.71,6.0,1,very_habitable
87.91,0.586,0.4,10.5,4.4,1,potentially_habitable
62.553999999999995,0.764,15.24,11.623,,0,non_habitable
85.0,0.401,8.3,15.87,2.8,0,non_habitable
85.73,0.47100000000000003,13.6,15.635,3.8,0,non_habitable
56.375,0.53,2.147,10.89,3.5269999999999997,1,potentially_habitable
32.99,0.757,-4.5,10.25,4.5,1,very_habitable
78.406,0.514149134,4.1,11.15,3.157,0,non_habitable
50.23,0.878,5.1,11.71,,1,very_habitable
42.1,0.259,6.4,14.5,3.5,1,very_habitable
27.558000000000003,1.304,0.8809999999999999,6.2585,,1,potentially_habitable
64.42,0.262,5.9,17.115,2.8,0,non_habitable
105.74,0.775,8.5,16.05,3.6,1,potentially_habitable
66.48,0.42100000000000004,6.5,12.35,3.1,0,non_habitable
52.05,0.152,5.9,29.525,2.9,1,very_habitable
95.68,0.37799999999999995,9.7,22.44,,0,non_habitable
40.634,0.971,7.18,6.107,,1,potentially_habitable
60.802,0.790636962,8.2,7.7,3.8560000000000003,0,non_habitable
77.83,0.272,17.3,19.285,,0,non_habitable
103.125,0.295,5.154,11.154000000000002,5.332000000000001,1,very_habitable
34.817,1.3259999999999998,7.702000000000001,4.663,,1,potentially_habitable
62.14,0.413,9.5,24.65,3.1,0,non_habitable
57.43,0.446,4.8,13.5,3.6,0,non_habitable
77.5,0.6579999999999999,4.537,11.332,3.324,0,non_habitable
76.08,0.614,0.8,19.615,3.1,0,non_habitable
20.988000000000003,0.978773784,1.8,5.3,4.724,1,very_habitable
60.94,0.721,4.9,9.45,4.0,1,potentially_habitable
79.625,0.573,3.4989999999999997,17.839000000000002,2.885,0,non_habitable
28.921999999999997,0.9940000000000001,2.7030000000000003,5.159,3.945,1,potentially_habitable
77.9,0.61898892,10.1,12.15,3.645,0,non_habitable
109.964,0.949341207,6.1,6.95,3.918,1,potentially_habitable
73.66,0.622,-8.0,30.125,2.7,0,non_habitable
54.919,1.033463966,-1.1,6.75,3.841,1,potentially_habitable
49.438,0.752,-8.496,19.434,4.785,0,very_habitable
25.043000000000003,1.32,4.3469999999999995,7.0015,,1,potentially_habitable
44.718999999999994,0.95,0.156,7.412999999999999,3.178,1,potentially_habitable
68.47,0.48700000000000004,8.2,11.635,3.3,0,non_habitable
76.89,0.615,16.9,14.22,3.5,0,non_habitable
40.531,0.184,1.033,17.424,4.894,1,very_habitable
58.32,0.386,6.6,14.885,2.8,0,non_habitable
60.606,0.6535019470000001,5.5,10.35,3.0380000000000003,0,non_habitable
43.09,1.48,3.1,3.11,5.8,1,potentially_habitable
70.98,0.401,11.5,18.395,3.1,0,non_habitable
49.28,0.9540000000000001,3.9,7.085,4.3,1,potentially_habitable
88.5,0.764,5.345,9.743,4.004,1,potentially_habitable
84.26,0.62,12.8,13.685,3.3,0,non_habitable
74.23,0.5489999999999999,8.9,17.95,3.2,0,non_habitable
132.81,0.436,16.7,19.65,3.4,0,non_habitable
53.125,0.826,1.122,4.835,4.008,1,very_habitable
146.35,0.78,2.4,13.675,,1,potentially_habitable
71.05,0.535,17.2,18.02,3.3,0,non_habitable
71.32,0.62,2.0,18.325,2.9,0,non_habitable
116.632,1.129,7.978,8.597000000000001,,1,potentially_habitable
62.702,0.8240000000000001,10.37,11.884,,0,non_habitable
77.9,0.35,6.8,14.375,3.3,0,non_habitable
72.63,0.625,5.8,10.46,,0,non_habitable
92.55,0.645225712,9.9,13.05,3.45,0,non_habitable
86.084,0.8924285470000001,11.6,8.8,3.967,1,potentially_habitable
60.57899999999999,0.77,7.675,8.3355,,1,potentially_habitable
16.97,0.669,1.3,7.54,5.7,1,very_habitable
60.841,0.685,11.100999999999999,13.2395,,0,non_habitable
84.87,0.511,12.0,14.82,3.9,0,non_habitable
103.25,0.5720000000000001,2.9589999999999996,13.642999999999999,2.947,0,non_habitable
69.03,0.624,10.0,11.72,3.2,0,non_habitable
43.622,0.7929999999999999,8.142999999999999,12.2555,,0,non_habitable
18.63,1.452,4.7,1.755,6.1,1,very_habitable
73.72,0.301,7.0,13.77,3.2,0,non_habitable
124.43799999999999,0.5579999999999999,-7.337000000000001,46.692,2.15,0,non_habitable
89.16,0.5329999999999999,10.4,19.6,3.4,0,non_habitable
60.413999999999994,0.7518946879999999,2.9,8.75,4.857,1,very_habitable
66.05,0.628,-9.4,26.215,2.8,0,non_habitable
30.47,0.8420000000000001,-0.8,5.3,4.7,1,very_habitable
43.20399999999999,0.927319025,-1.0,8.2,4.552,1,very_habitable
78.82,0.418,7.3,20.75,3.3,0,non_habitable
73.938,0.301,10.693,21.143,3.065,0,non_habitable
54.42,0.49,11.1,12.35,3.1,1,potentially_habitable
119.82,0.725,0.5,10.775,,1,potentially_habitable
71.563,0.772,3.478,22.156999999999996,2.416,1,non_habitable
62.221000000000004,0.773,13.068,12.93,,1,potentially_habitable
65.41,0.59,3.9,11.45,3.3,0,non_habitable
55.273,0.19451434199999998,5.0,15.0,2.925,0,non_habitable
62.47,0.358,7.7,15.31,3.0,0,non_habitable
56.785,0.753,2.311,12.9165,,0,non_habitable
20.653000000000002,0.529,0.9,8.65,5.865,1,very_habitable
50.608000000000004,0.873,9.959,9.5875,,1,potentially_habitable
47.77,1.0090000000000001,1.0,7.4,3.8,1,potentially_habitable
35.063,0.951,0.086,5.285,3.943,1,very_habitable
55.71,0.36200000000000004,-0.7,28.15,2.9,0,non_habitable
74.938,0.5870000000000001,3.3139999999999996,11.139000000000001,3.215,0,non_habitable
23.77,0.609,5.5,6.35,4.0,1,potentially_habitable
78.95,0.34700000000000003,7.3,14.85,3.1,0,non_habitable
72.36,0.48,6.6,10.045,,0,non_habitable
39.82,0.82,2.3,6.04,4.3,1,potentially_habitable
76.105,0.469085299,9.5,13.55,3.2110000000000003,0,non_habitable
62.931999999999995,0.8924841790000001,2.1,6.45,4.454,1,potentially_habitable
63.68,0.348,5.7,17.015,2.7,0,non_habitable
23.967,1.39,5.667000000000001,4.6905,,1,very_habitable
23.406,0.8220000000000001,2.603,6.087999999999999,4.926,1,very_habitable
18.297,1.294,0.22699999999999998,2.8,4.66,1,very_habitable
24.473000000000003,1.2819999999999998,5.888,3.37,,1,potentially_habitable
69.72,0.5539999999999999,3.2,14.8,2.9,1,potentially_habitable
115.02,0.408,15.2,19.66,,0,non_habitable
51.63,0.9520000000000001,4.3,6.88,4.1,1,potentially_habitable
74.62,0.6609999999999999,4.2,10.615,,0,non_habitable
50.39,0.34600000000000003,-4.2,18.3,4.6,1,very_habitable
64.14699999999999,0.1430148,6.7,15.75,2.928,0,non_habitable
75.73,0.679,6.8,9.89,3.3,0,non_habitable
37.01,0.622,2.6,9.1,4.0,1,very_habitable
62.43,0.324,-0.2,16.275,2.6,0,non_habitable
67.75,0.645,13.2,18.745,2.9,0,non_habitable
68.77,0.34299999999999997,-2.9,24.15,2.7,0,non_habitable
49.17,0.607,1.0,10.82,4.3,1,very_habitable
104.12799999999999,0.501333179,12.5,17.35,3.15,0,potentially_habitable
81.76899999999999,0.8190000000000001,6.162999999999999,11.2105,,1,very_habitable
24.49,0.885,-0.4,6.6,5.0,1,very_habitable
89.47,0.431,10.0,13.055,3.3,0,non_habitable
56.33,0.6990000000000001,3.0,9.33,3.0,0,non_habitable
113.875,0.40399999999999997,5.099,16.239,3.463,1,very_habitable
72.87,0.5820000000000001,-19.0,39.125,2.1,0,non_habitable
83.8,0.8109999999999999,7.6,13.18,,1,potentially_habitable
38.688,0.9329999999999999,1.9680000000000002,6.138,3.785,1,potentially_habitable
58.5,0.935,6.938,11.909,3.5469999999999997,1,potentially_habitable
117.37,0.40700000000000003,9.4,20.135,,0,non_habitable
39.89,0.88,3.1,8.695,3.6,1,potentially_habitable
93.52,0.45,10.1,18.555,,0,non_habitable
57.86,0.721,2.2,7.1,3.3,0,non_habitable
107.56299999999999,0.517,3.99,11.585999999999999,4.754,1,very_habitable
92.73299999999999,0.60162548,-7.4,26.3,3.031,0,non_habitable
66.563,0.8109999999999999,3.072,9.184,3.188,0,non_habitable
103.11,0.292,7.3,22.76,,0,non_habitable
76.51,0.623,6.6,23.6,2.6,0,non_habitable
74.77,0.5579999999999999,9.2,20.3,3.0,0,non_habitable
21.23,0.772,3.5,7.98,5.0,1,very_habitable
29.43,0.7809999999999999,9.1,11.93,3.6,1,very_habitable
24.421999999999997,0.408,0.018000000000000002,12.872,4.785,1,very_habitable
33.9,0.7090000000000001,-2.2,6.3,3.8,1,potentially_habitable
91.25,0.667,7.3,15.86,,1,potentially_habitable
66.86,0.746,6.2,9.41,3.2,0,non_habitable
38.24,0.905,2.0,8.845,3.4,1,potentially_habitable
36.6,0.243,6.7,15.605,,1,very_habitable
70.99,0.53,9.7,15.35,3.1,0,non_habitable
43.08,1.024,2.1,7.05,3.9,1,potentially_habitable
97.43799999999999,0.19399999999999998,2.51,16.387,4.77,1,very_habitable
84.14399999999999,1.14245204,0.8,6.3,4.313,1,potentially_habitable
40.563,1.046,1.6340000000000001,6.032,4.133,1,potentially_habitable
84.18,0.377,6.8,15.72,3.8,0,non_habitable
66.875,0.617,2.883,10.252,3.205,0,non_habitable
24.65,0.262,0.8,17.925,,1,very_habitable
24.5,0.243,3.0,18.23,,1,very_habitable
18.3,0.494,-7.7,14.65,4.1,1,very_habitable
36.084,0.882,1.6,8.2,4.125,1,very_habitable
